198,EXPDD x FOAC,0.790,0.039634137337 
199,DDEADC x ID14,0.792,0.039582648896 
200,AGE x FPLACE,0.796,0.039527864370 
201,COUNTRY x DGORM,0.797,0.039476896689 
202,CNTRYNUM x DGORM,0.799,0.039425929008 
203,EXPDD x FAP,0.802,0.039372516938 
204,DIED x EXPD14,0.804,0.039321747519 
205,DDEADD x FAP,0.808,0.039268363377 
206,EXPDD x FDEAD,0.811,0.039216005924 
207,RDEF4 x RDEF5,0.811,0.039167066045 
208,DPLACE x EXPD6,0.816,0.039112493761 
209,EXPD14 x FOAC,0.819,0.039060543173 
210,DPLACE x EXPD14,0.825,0.039006322866 
211,DASPLT x FPLACE,0.825,0.038957975329 
212,EXPD14 x FDEAD,0.828,0.038906606777 
213,AGE x EXPDD,0.892,0.038786685918 
214,DPLACE x FRECOVER,0.892,0.038738659355 
215,DDEADC x FPLACE,0.898,0.038684811591 
216,DALIVED x DASPLT,0.901,0.038633575372 
217,FDENNIS x RDEF6,0.901,0.038585727737 
218,OCCODE x RDEF6,0.901,0.038537793666 
219,DALIVE x DIED,0.901,0.038490126360 
220,ID14 x OCCODE,0.901,0.038442357834 
221,DALIVE x FDEAD,0.901,0.038394652757 
222,DDEADD x FPLACE,0.907,0.038341031455 
223,FDENNIS x RDEF5,0.907,0.038293501270 
224,EXPD14 x RDEF3,0.909,0.038243509066 
225,EXPD14 x FAP,0.913,0.038191827214 
226,OCCODE x RDEF5,0.913,0.038144203369 
227,DIED x ID14,0.913,0.038096806393 
228,FDEAD x ID14,0.913,0.038049440603 
229,FDENNIS x ID14,0.913,0.038002483842 
230,FPLACE x ID14,0.913,0.037955536521 
231,DASPLT x FRECOVER,0.913,0.037908584220 
232,FRECOVER x ID14,0.914,0.037861722223 
233,FAP x ID14,0.914,0.037814982562 
234,FOAC x ID14,0.914,0.037768261779 
235,DASPLT x OCCODE,0.914,0.037721436550 
236,DASPLT x FDENNIS,0.914,0.037674890274 
237,DASPLT x FDEAD,0.914,0.037628364375 
238,DALIVE x FOAC,0.914,0.037581883308 
239,DASPLT x DIED,0.914,0.037535480947 
240,DALIVE x FAP,0.915,0.037489021374 
241,DALIVE x FRECOVER,0.915,0.037442770701 
242,DPLACE x FAP,0.915,0.037396418782 
243,DPLACE x FOAC,0.915,0.037350128234 
244,DALIVED x DIED,0.917,0.037302453837 
245,DIED x DPLACE,0.917,0.037256423172 
246,DDEADC x OCCODE,0.925,0.037201847310 
247,DDEADD x OCCODE,0.932,0.037147288148 
248,FPLACE x RCONSC,0.932,0.037101272259 
249,DPLACE x FDEAD,0.933,0.037055219592 
250,DALIVED x FRECOVER,0.936,0.037005992881 
251,FDEADC x ID14,0.937,0.036958529553 
252,RDEF2 x STYPE,0.937,0.036912725592 
253,RCONSC x STYPE,0.937,0.036867311099 
254,DEAD1 x FDEADC,0.939,0.036820373172 
255,DALIVE x EXPD14,0.942,0.036771838561 
256,DALIVE x EXPDD,0.945,0.036723596236 
257,DASPLT x TD,0.948,0.036675330112 
258,DALIVE x FDEADD,0.951,0.036627266555 
259,DALIVED x FDEAD,0.954,0.036579355610 
260,DALIVE x FDEADC,0.957,0.036531691277 
261,DALIVED x FOAC,0.961,0.036484042732 
262,DALIVE x EXPD6,0.964,0.036436620236 
263,DASPLT x FDEADD,0.967,0.036389341262 
264,DALIVE x TD,0.970,0.036342738384 
265,DALIVED x FAP,0.974,0.036295279882 
266,DASPLT x FDEADC,0.977,0.036248737252 
267,COUNTRY x RDATE,0.995,0.036186037705 
268,COUNTRY x DPLACE,0.996,0.036141347999 
269,DPLACE x TD,1.002,0.036092987337 
270,EXPDD x RDEF1,1.004,0.036048166244 
271,DPLACE x FDEADD,1.010,0.036000036064 
272,CNTRYNUM x DPLACE,1.012,0.035955346357 
273,COUNTRY x OCCODE,1.015,0.035910213462 
274,DPLACE x HOSPNUM,1.020,0.035862170545 
275,EXPDD x SEX,1.021,0.034888474459 
276,DPLACE x RDEF5,1.022,0.034846828935 
277,EXPDD x RDEF3,1.024,0.034802808447 
278,CNTRYNUM x OCCODE,1.027,0.034757675552 
279,FDENNIS x ONDRUG,1.030,0.034713190580 
280,DASP14 x DASPLT,1.031,0.034672186200 
281,RDEF4 x RDEF6,1.031,0.034631368400 
282,FOAC x RDEF5,1.031,0.034590722821 
283,DPLACE x FDEADC,1.036,0.034544128811 
284,FDENNIS x RCONSC,1.036,0.034503550435 
285,OCCODE x RCONSC,1.036,0.034462966147 
286,DPLACE x RDEF6,1.037,0.034422509324 
287,EXPD6 x RATRIAL,1.039,0.034379821239 
288,AGE x FDENNIS,1.041,0.034336835670 
289,FRECOVER x RDEF5,1.042,0.034296909632 
290,COUNTRY x FDENNIS,1.043,0.034255947182 
291,DASPLT x DDEAD,1.043,0.034216215687 
292,DEAD1 x OCCODE,1.043,0.034176464967 
293,FDEAD x RDEF5,1.043,0.034136787590 
294,DIED x RDEF5,1.043,0.034097176690 
295,FAP x RDEF5,1.043,0.034057560511 
296,CNTRYNUM x FDENNIS,1.044,0.034016598061 
297,DEAD1 x DIED,1.045,0.033977184854 
298,DEAD1 x FDEAD,1.045,0.033937769031 
299,DALIVED x RDEF5,1.047,0.033895889527 
300,FPLACE x STYPE,1.047,0.033856457787 
301,DEAD1 x FRECOVER,1.047,0.033817347063 
302,DALIVE x RDEF5,1.047,0.033778204377 
