oracle,dataset,iters,measurements,kway,epsilon,seed,noisy_error,error,time
gum,msnbc,10000,1,2,1.0,0,0.0006890561740001384,0.0006680168475891036,0.018692731857299805
gum,adult,10000,8,2,1.0,0,0.05472308603801748,0.018162261738039687,27.672779083251953
gum,msnbc,10000,2,3,1.0,0,0.012413324555967175,0.0072731101284849616,0.5422120094299316
gum,msnbc,10000,4,2,1.0,0,0.0007145285849080005,0.0006833094419471209,0.975163459777832
gum,fire,10000,64,2,1.0,0,0.0014143158792226395,0.0007985236842072821,31.908977270126343
convex,stroke,10000,2,3,1.0,0,0.15363278555719562,0.014275565894440014,14.019176483154297
convex,adult,10000,2,3,1.0,0,0.0030368344569771735,0.002498848433426109,33.716638803482056
gum,titanic,10000,2,2,1.0,0,0.03532828812984559,0.03335117307854775,0.00819253921508789
gum,stroke,10000,16,2,1.0,0,0.03501860990392712,0.004665515501148986,14.482136249542236
gum,titanic,10000,1,2,1.0,0,0.03350560173837916,0.03108047889009889,0.0026268959045410156
gum,titanic,10000,1,3,1.0,0,0.056102312706933805,0.04008100819582827,0.0038962364196777344
convex,msnbc,10000,1,2,1.0,0,0.0006890561740001384,0.001104634863759004,6.623347997665405
gum,msnbc,10000,8,2,1.0,0,0.000701331550107708,0.0006550928647622921,5.150220632553101
gum,titanic,10000,4,2,1.0,0,0.314270725716887,0.06433439050924294,1.6441354751586914
convex,msnbc,10000,1,3,1.0,0,0.012365950547788798,0.01856152650818808,10.349442481994629
gum,titanic,10000,2,3,1.0,0,2.2421422935697146,0.1705081182329291,5.587512016296387
convex,msnbc,10000,2,2,1.0,0,0.0007255932938173117,0.0010684640510789235,12.021896123886108
convex,loans,10000,2,2,1.0,0,0.32220463025349205,0.016305777454563707,32.86572504043579
convex,titanic,10000,1,3,1.0,0,0.056102312706933805,0.0435854972686083,6.388066291809082
convex,titanic,10000,1,2,1.0,0,0.03350560173837916,0.028839419553860327,6.394891977310181
gum,msnbc,10000,16,2,1.0,0,0.0006981113189786932,0.0006462036103478077,10.791929244995117
convex,loans,10000,1,3,1.0,0,0.937435499792632,0.1736347036678922,33.68395137786865
gum,titanic,10000,8,2,1.0,0,0.38704254974409297,0.1354878347677823,4.417498826980591
convex,fire,10000,4,2,1.0,0,0.0014649596488960082,0.0010155404089687338,44.718472480773926
convex,titanic,10000,2,2,1.0,0,0.03532828812984559,0.03239465066490496,11.223777055740356
gum,titanic,10000,16,2,1.0,0,0.3402009843282561,0.09615114900109238,8.295701742172241
convex,adult,10000,4,2,1.0,0,0.044696481398935825,0.022564287177959656,48.1476104259491
convex,msnbc,10000,2,3,1.0,0,0.012413324555967175,0.015687525034097413,19.68107771873474
convex,stroke,10000,2,2,1.0,0,0.012904046958741906,0.011068776657261406,34.87009787559509
gum,titanic,10000,4,3,1.0,0,2.5245963024060067,0.26722632764496335,13.805485725402832
gum,msnbc,10000,32,2,1.0,0,0.0007032593825727114,0.000639324965985337,22.222386121749878
gum,fire,10000,32,2,0.1,0,0.016463881945350395,0.006685848717337344,17.690253019332886
gum,titanic,10000,8,3,1.0,0,1.7501702466953144,0.1925087757092773,22.5234694480896
gum,fire,10000,32,2,0.03162277660168379,0,0.05199921537505084,0.018128952878788487,17.99446940422058
convex,loans,10000,4,2,1.0,0,0.30989298985987374,0.04921476276902717,53.56736445426941
gum,fire,10000,32,2,0.31622776601683794,0,0.005226519786764649,0.0024187300938188446,17.75593614578247
gum,fire,10000,32,2,3.1622776601683795,0,0.0005479025736779579,0.0002805103208384528,17.83922028541565
gum,fire,10000,32,2,10.0,0,0.00019005695402027223,9.41667159959729e-05,17.540616512298584
gum,fire,10000,32,2,1.0,0,0.001672638858374761,0.0008383663055993321,18.215867519378662
convex,stroke,10000,4,2,1.0,0,0.1072696180054964,0.01410188501771879,46.442601442337036
convex,titanic,10000,2,3,1.0,0,2.2421422935697146,0.19366112768382837,36.76653861999512
gum,fire,10000,8,3,1.0,0,0.024723071605903413,0.004432187834927392,72.46338605880737
convex,msnbc,10000,4,2,1.0,0,0.0007145285849080005,0.0020446531068166757,45.681461811065674
gum,msnbc,10000,64,2,1.0,0,0.000701249398617847,0.0006301755566713933,42.452072858810425
convex,fire,10000,4,3,1.0,0,0.017666792804939477,0.003726473905710414,76.93659734725952
gum,titanic,10000,32,2,1.0,0,0.7893654185363369,0.109349609692235,40.050477504730225
gum,adult,10000,16,2,1.0,0,0.08506673172948724,0.021784110287727206,78.42790079116821
gum,msnbc,10000,4,3,1.0,0,0.012432510288749258,0.0070811921575228,54.99932837486267
gum,fire,10000,16,3,1.0,0,0.016463622227505928,0.0033430260019804486,83.89818668365479
