oracle,iters,attributes,domain,measurements,records,temperature,epsilon,seed,learning_rate,selection,skiperror,time,error_in,error_out,baseline_in,dist_noisy
approx,25,100,10,1526,10000,3.0,1.0,0,1e-05,random,True,222.26988816261292,,,,
approx,25,100,10,1842,10000,3.0,1.0,0,1e-05,random,True,256.9493672847748,,,,
approx,25,100,10,2222,10000,3.0,1.0,0,1e-05,greedy,True,361.99300956726074,,,,
approx,25,100,10,1842,10000,3.0,1.0,0,1e-05,greedy,True,400.7201364040375,,,,
approx,25,100,10,2222,10000,3.0,1.0,0,1e-05,random,True,397.59536147117615,,,,
exact,25,100,10,51,10000,3.0,1.0,0,1e-05,random,True,539.8408880233765,,,,
approx,25,100,10,2682,10000,3.0,1.0,0,1e-05,random,True,501.18445229530334,,,,
approx,25,100,10,2682,10000,3.0,1.0,0,1e-05,greedy,True,568.723518371582,,,,
approx,25,100,10,3237,10000,3.0,1.0,0,1e-05,greedy,True,657.3185539245605,,,,
approx,25,100,10,3237,10000,3.0,1.0,0,1e-05,random,True,506.01884603500366,,,,
approx,25,100,10,3906,10000,3.0,1.0,0,1e-05,random,True,698.0496909618378,,,,
approx,25,100,10,3906,10000,3.0,1.0,0,1e-05,greedy,True,801.9058833122253,,,,
exact,25,100,10,1048,10000,3.0,1.0,0,1e-05,greedy,True,927.2206432819366,,,,
approx,25,100,10,4714,10000,3.0,1.0,0,1e-05,greedy,True,995.5790305137634,,,,
approx,25,100,10,4714,10000,3.0,1.0,0,1e-05,random,True,893.8780374526978,,,,
approx,25,100,10,5689,10000,3.0,1.0,0,1e-05,random,True,1076.2150399684906,,,,
approx,25,100,10,5689,10000,3.0,1.0,0,1e-05,greedy,True,1525.2121777534485,,,,
approx,25,100,10,6866,10000,3.0,1.0,0,1e-05,random,True,1573.5570352077484,,,,
approx,25,100,10,6866,10000,3.0,1.0,0,1e-05,greedy,True,1783.7957265377045,,,,
approx,25,100,10,8286,10000,3.0,1.0,0,1e-05,greedy,True,2243.9583411216736,,,,
approx,25,100,10,8286,10000,3.0,1.0,0,1e-05,random,True,2214.9234845638275,,,,
approx,25,100,10,10000,10000,3.0,1.0,0,1e-05,random,True,2390.6458406448364,,,,
exact,25,100,10,1264,10000,3.0,1.0,0,1e-05,greedy,True,3423.0671575069427,,,,
approx,25,100,10,10000,10000,3.0,1.0,0,1e-05,greedy,True,2998.4824566841125,,,,
