oracle,dataset,iters,measurements,kway,epsilon,seed,noisy_error,error,time
gum,adult,10000,32,2,0.01,0,28.180566062654943,0.5265896169079677,68.09428095817566
gum,adult,10000,32,2,100.0,0,0.005451712261028735,0.0017699628187949738,68.24719715118408
gum,adult,10000,32,2,3.1622776601683795,0,0.09410434022027216,0.02321854332831866,71.10076689720154
gum,adult,10000,32,2,10.0,0,0.03240528072575296,0.009457752614703696,71.12227630615234
gum,adult,10000,32,2,1.0,0,0.2845500948705524,0.05118049039196007,71.00976705551147
gum,adult,10000,32,2,10.0,0,0.032320342333308466,0.009671401723319631,81.48006987571716
convex,adult,10000,32,2,10.0,0,0.032410647845862894,0.008697105780018774,662.2218215465546
convex,adult,10000,32,2,31.622776601683793,0,0.012523765122651805,0.004501579691146827,665.777346611023
convex,adult,10000,32,2,3.1622776601683795,0,0.09344167986636275,0.02009716928746095,675.8121149539948
convex,adult,10000,32,2,0.03162277660168379,0,8.879680950706023,0.3228698785636361,766.4885747432709
convex,adult,10000,32,2,0.01,0,28.1427549810969,0.5706478460038119,766.3922538757324
convex,adult,10000,32,2,0.1,0,2.802202842491082,0.17734091289525394,772.571727514267
convex,adult,10000,32,2,31.622776601683793,0,0.012388428793710427,0.004466019595800029,689.7831282615662
convex,adult,10000,32,2,100.0,0,0.005428421825021616,0.003233867742470267,694.3696281909943
convex,adult,10000,32,2,10.0,0,0.03233022986088401,0.008692112580565667,739.9022328853607
convex,adult,10000,32,2,31.622776601683793,0,0.012460676952715667,0.00449378365351752,739.1400213241577
convex,adult,10000,32,2,0.03162277660168379,0,8.875103871553895,0.32310710837022133,739.0870251655579
convex,adult,10000,32,2,0.1,0,2.814678072797504,0.17907369406829923,739.7879018783569
convex,adult,10000,32,2,100.0,0,0.0054088760168629485,0.0032201164034517758,741.5769701004028
convex,adult,10000,32,2,100.0,0,0.00541492414399934,0.0032350101586973625,765.5088880062103
convex,adult,10000,32,2,0.01,0,27.980189227408445,0.5781906741960453,766.9340107440948
convex,adult,10000,32,2,0.1,0,2.816218960788548,0.1806519995094902,769.0271894931793
convex,adult,10000,32,2,0.03162277660168379,0,8.83623192945254,0.34430660175865907,771.2974410057068
convex,adult,10000,32,2,31.622776601683793,0,0.012499975341832708,0.004560657524870396,773.5532395839691
convex,adult,10000,32,2,0.03162277660168379,0,8.877578178847914,0.318834084732055,774.7649772167206
convex,adult,10000,32,2,0.01,0,27.875113539786206,0.50193118072725,777.5617780685425
convex,adult,10000,32,2,0.1,0,2.817318897071119,0.17532318783133402,780.2804794311523
convex,adult,10000,32,2,100.0,0,0.0054295298799528985,0.0032477169532029817,780.1663725376129
convex,adult,10000,32,2,0.1,0,2.80046378814486,0.1814105733422349,796.1860568523407
convex,adult,10000,32,2,0.01,0,28.19418302232734,0.5814541216275019,797.3064186573029
convex,adult,10000,32,2,0.03162277660168379,0,8.88664137705617,0.3292167403162948,798.8150260448456
convex,adult,10000,32,2,0.31622776601683794,0,0.886305510997547,0.09011714817779913,802.5787897109985
convex,adult,10000,32,2,3.1622776601683795,0,0.09297095173765806,0.019519565594381207,800.8939116001129
convex,adult,10000,32,2,1.0,0,0.2850219034071388,0.044190879350150696,801.4885261058807
convex,adult,10000,32,2,3.1622776601683795,0,0.09341430148613149,0.019994323261216872,803.0555129051208
convex,adult,10000,32,2,3.1622776601683795,0,0.09323263863120909,0.019668731449541788,803.9277441501617
convex,adult,10000,32,2,1.0,0,0.2859864687681745,0.04453927623820604,804.5605072975159
convex,adult,10000,32,2,0.31622776601683794,0,0.8969744791575357,0.09448340151906784,805.086715221405
convex,adult,10000,32,2,0.31622776601683794,0,0.8922917718623548,0.09348471983321271,805.2018301486969
convex,adult,10000,32,2,1.0,0,0.2847309590049177,0.04573208921896841,808.5945184230804
convex,adult,10000,32,2,10.0,0,0.03240650631636335,0.008630112722981323,806.3978796005249
convex,adult,10000,32,2,10.0,0,0.0321404693248298,0.008675069905712861,808.7777087688446
convex,adult,10000,32,2,3.1622776601683795,0,0.09296236348595346,0.019967947187401493,813.454274892807
convex,adult,10000,32,2,1.0,0,0.2847484558469347,0.04444624857862151,812.547102689743
convex,adult,10000,32,2,0.31622776601683794,0,0.8983541207139629,0.0946385761605679,814.2077655792236
convex,adult,10000,32,2,100.0,0,0.005374872859608679,0.003218171260952915,821.9051113128662
convex,adult,10000,32,2,0.31622776601683794,0,0.8881828589393204,0.09269017967810488,820.8562977313995
convex,adult,10000,32,2,1.0,0,0.28410483388692503,0.044605774316766246,827.5355608463287
convex,adult,10000,32,2,31.622776601683793,0,0.01245472845084108,0.004470075961483655,831.8443989753723
